Lat,Lon,Alt,Error_m
-25.3255092362717,-57.639095679848,75.8387,0.00215841926658397
-25.3255104,-57.6390973,75.85403,0.192664513152722
-25.3253395,-57.6391241,75.85403,1.34063319660458
-25.3253415,-57.6391338,75.85403,1.15730887623231
-25.3253415,-57.6391338,75.85403,1.15730887623231
-25.3254309,-57.6395625,75.85403,0.174082626687114
-25.3254309,-57.6395625,75.85403,0.174082626687114
-25.325433,-57.6395722,75.85403,0.319680204281611
-25.3254771,-57.6395625,75.85403,1.03304573675653
-25.3254751,-57.6395528,75.85403,0.795222661628604
-25.3254751,-57.6395528,75.85403,0.795222661628604
-25.3253854,-57.6391229,75.85403,0.0779905409705839
-25.3253854,-57.6391229,75.85403,0.0779905409705839
-25.3253833,-57.6391133,75.85403,0.677002892696229
-25.3254272,-57.6391024,75.85403,0.691854691275761
-25.3254293,-57.6391121,75.85403,0.399623194209228
-25.3254293,-57.6391121,75.85403,0.399623194209228
-25.3255192,-57.6395432,75.85403,0.134827732767191
-25.3255192,-57.6395432,75.85403,0.134827732767191
-25.3255212,-57.6395529,75.85403,0.731618871727295
-25.3255654,-57.6395432,75.85403,0.930120145681273
-25.3255633,-57.6395335,75.85403,0.670537196849508
-25.3255633,-57.6395335,75.85403,0.670537196849508
-25.3254731,-57.6391012,75.85403,0.0404098566484246
-25.3254731,-57.6391012,75.85403,0.0404098566484246
-25.3254711,-57.6390916,75.85403,0.72086816223858
-25.325515,-57.6390807,75.85403,0.791530220852679
-25.325517,-57.6390904,75.85403,0.555619433969718
-25.325517,-57.6390904,75.85403,0.555619433969718
-25.3256075,-57.6395239,75.85403,3.09849331970731
