Lat,Lon,Alt,Error_m
-25.3255057275335,-57.6391345663392,77.24625,0.00299489046801966
-25.3255170170624,-57.6391308963486,75.56494,0.000622243968428502
-25.3255170170624,-57.6391308963486,75.50564,0.000622243968428502
-25.3256075,-57.6395239,77.25351,40.7229035888475
-25.3255049526421,-57.6391261398523,75.83465,0.00328989311904082
-25.3255049526421,-57.6391261398523,75.93909,0.00328989311904082
-25.3256075,-57.6395239,77.25351,40.7229035888475
-25.3255016506849,-57.6391313983748,75.09977,0.0102368527187439
-25.3255016506849,-57.6391313983748,75.19798,0.0102368527187439
-25.3254888680256,-57.6391266054604,0,0.00124421641798835
