Lat,Lon,Alt,Error_m
-25.3255061066686,-57.639096948879,77.06474,0.00183690508785875
-25.3255026,-57.6391035,76.97966,0.237281460318582
-25.3254944,-57.6392823,76.97966,0.290750686459968
-25.3255133,-57.6394453,76.97966,0.0231288621710049
-25.3255741,-57.6394243,76.97966,0.7646393235076
-25.3255741,-57.6394243,76.97966,0.7646393235076
-25.3255583223347,-57.6394308023732,77.97966,0.043569022652291
-25.3255062960657,-57.6390968754319,77.97966,0.000349310614307577
-25.3255062960657,-57.6390968754319,77.68153,0.000349310614307577
-25.3255062960657,-57.6390968754319,77.97966,0.000349310614307577
-25.3255062960657,-57.6390968754319,73.97966,0.000349310614307577
NaN,NaN,0,NaN
NaN,NaN,0,NaN
NaN,NaN,0,NaN
NaN,NaN,0,NaN
NaN,NaN,0,NaN
NaN,NaN,0,NaN
